offLNm,offFNm,teamAbbr,teamLoc,teamRslt,teamFTA,teamFTM,teamFT%,opptAbbr,opptConf,opptLoc,opptRslt,opptFTA,opptFTM,opptFT%
Maddox,Tre,PHO,Home,Win,21,17,0.8095,DEN,West,Away,Loss,18,11,0.6111
Kirkland,Courtney,ATL,Away,Win,22,18,0.8182,POR,West,Home,Loss,26,21,0.8077
Fehr,Kevin,ATL,Away,Win,22,18,0.8182,POR,West,Home,Loss,26,21,0.8077
Davis,Marc,ATL,Away,Win,22,18,0.8182,POR,West,Home,Loss,26,21,0.8077
Kirkland,Courtney,POR,Home,Loss,26,21,0.8077,ATL,East,Away,Win,22,18,0.8182
Fehr,Kevin,POR,Home,Loss,26,21,0.8077,ATL,East,Away,Win,22,18,0.8182
Davis,Marc,POR,Home,Loss,26,21,0.8077,ATL,East,Away,Win,22,18,0.8182
Brothers,Tony,NY,Away,Win,11,8,0.7273,ORL,East,Home,Loss,17,10,0.5882
Boland,Matt,NY,Away,Win,11,8,0.7273,ORL,East,Home,Loss,17,10,0.5882
Workman,Haywoode,NY,Away,Win,11,8,0.7273,ORL,East,Home,Loss,17,10,0.5882
Brothers,Tony,ORL,Home,Loss,17,10,0.5882,NY,East,Away,Win,11,8,0.7273
Boland,Matt,ORL,Home,Loss,17,10,0.5882,NY,East,Away,Win,11,8,0.7273
Workman,Haywoode,ORL,Home,Loss,17,10,0.5882,NY,East,Away,Win,11,8,0.7273
Fraher,Pat,TOR,Away,Win,19,16,0.8421,IND,East,Home,Loss,25,19,0.76
Salvatore,Bennett,TOR,Away,Win,19,16,0.8421,IND,East,Home,Loss,25,19,0.76
Cutler,Kevin,TOR,Away,Win,19,16,0.8421,IND,East,Home,Loss,25,19,0.76
Fraher,Pat,IND,Home,Loss,25,19,0.76,TOR,East,Away,Win,19,16,0.8421
Salvatore,Bennett,IND,Home,Loss,25,19,0.76,TOR,East,Away,Win,19,16,0.8421
Cutler,Kevin,IND,Home,Loss,25,19,0.76,TOR,East,Away,Win,19,16,0.8421
Wall,Scott,WAS,Away,Loss,32,21,0.6563,CHA,East,Home,Win,32,27,0.8438
McCutchen,Monty,WAS,Away,Loss,32,21,0.6563,CHA,East,Home,Win,32,27,0.8438
Poole,Olandis,WAS,Away,Loss,32,21,0.6563,CHA,East,Home,Win,32,27,0.8438
