,Team,Home,Away,Combined,Difference,WAS,CLE,BOS,MIA,DAL,LAL,DEN,PHI,IND,TOR,HOU,DET,SAC,CHI,SA,NO,UTA,GS,PHO,MEM,LAC,POR,OKC,ORL,CHA,MIL,ATL,NY,MIN,BKN
10,HOU,0.7366260162601629,0.740426829268293,0.7385264227642288,-0.007816070212778081,0.7130333333333333,0.7036833333333333,0.6626,0.7990833333333333,0.7019166666666666,0.7167818181818182,0.76557,0.8089333333333334,0.7904333333333334,0.7130333333333333,,0.7632833333333333,0.7775545454545454,0.7434166666666666,0.6931083333333333,0.7565583333333334,0.7468363636363636,0.7280800000000001,0.7241727272727272,0.7903416666666666,0.7884909090909091,0.7242454545454545,0.6695636363636364,0.7119833333333334,0.7388166666666667,0.7228333333333333,0.7574666666666666,0.7412166666666667,0.7813272727272728,0.7446333333333333
11,DET,0.7054504065040649,0.6985772357723573,0.7020138211382114,0.021958726535189377,0.6603545454545454,0.7143,0.70629,0.6980636363636363,0.75005,0.5793666666666667,0.6651333333333334,0.7815727272727273,0.6648916666666667,0.6465727272727274,0.7043833333333334,,0.7310333333333334,0.7163833333333333,0.7197666666666667,0.6454166666666666,0.6759166666666666,0.7845166666666668,0.6600166666666666,0.7120833333333335,0.6274166666666666,0.7406166666666666,0.7137833333333333,0.6456818181818181,0.71822,0.70805,0.7317999999999999,0.7284181818181817,0.7208333333333333,0.6874818181818181
12,SAC,0.7653211382113824,0.7394341463414635,0.7523776422764231,0.01272896763415221,0.7178999999999999,0.7301166666666666,0.7727,0.6520833333333335,0.7106727272727272,0.6984249999999999,0.7497818181818182,0.7488166666666666,0.7187666666666667,0.7122666666666667,0.68631,0.7381333333333333,,0.7187833333333334,0.7815363636363636,0.7766181818181818,0.69573,0.7436166666666666,0.7608666666666667,0.7106181818181818,0.7275916666666666,0.7621181818181818,0.7148727272727272,0.7631,0.7475833333333334,0.8280666666666666,0.79385,0.8161666666666666,0.7541090909090908,0.7667999999999999
13,CHI,0.7828390243902438,0.774790650406504,0.7788148373983739,-0.005023793790013831,0.7846299999999999,0.7446083333333333,0.7459181818181818,0.7944272727272729,0.7226333333333333,0.8343333333333334,0.7177666666666666,0.8252300000000001,0.8040250000000001,0.8110818181818182,0.67365,0.7704083333333335,0.7402833333333333,,0.82795,0.8037333333333333,0.7789833333333332,0.8226333333333332,0.7457166666666666,0.7453833333333334,0.7779166666666667,0.7969499999999998,0.7836500000000001,0.7501545454545454,0.7319636363636364,0.743925,0.8221727272727274,0.7978636363636362,0.7529833333333333,0.7825
14,SA,0.7890621951219514,0.7889247967479678,0.7889934959349598,0.0017851352820356103,0.7425499999999999,0.8129833333333334,0.7775666666666666,0.7807499999999999,0.78055,0.7973818181818181,0.7762090909090908,0.80795,0.8448666666666665,0.7939666666666666,0.7862333333333335,0.8497499999999999,0.8064272727272727,0.7717499999999999,,0.7999416666666668,0.7725545454545454,0.7412727272727273,0.7972818181818181,0.7621916666666668,0.77534,0.7743727272727273,0.7302545454545455,0.8629333333333333,0.8455,0.7503833333333333,0.8306166666666667,0.81745,0.83689,0.7531333333333333
15,NO,0.7702272357723584,0.7632134146341459,0.7667203252032525,0.014339592809369028,0.7235166666666667,0.7861666666666668,0.8147500000000001,0.8314333333333335,0.7611500000000001,0.7623,0.737909090909091,0.6842333333333332,0.7268,0.6684333333333333,0.7298666666666667,0.8865333333333333,0.7954454545454546,0.7753333333333333,0.7921916666666666,,0.7711363636363636,0.768981818181818,0.8003545454545457,0.759075,0.7559,0.6868454545454544,0.79197,0.7584,0.7366333333333334,0.8435,0.7497166666666667,0.77575,0.7709727272727274,0.6950333333333333
16,UTA,0.747407723577236,0.7540174796747972,0.750712601626017,0.005776963148589553,0.70905,0.7461833333333333,0.7155333333333332,0.8117333333333333,0.7381000000000001,0.6930700000000001,0.7474166666666666,0.7490166666666668,0.7189666666666666,0.75895,0.7849454545454545,0.7400500000000001,0.7609818181818181,0.7200000000000001,0.7557636363636365,0.7963181818181817,,0.7251454545454545,0.7305909090909091,0.6995727272727272,0.7579999999999999,0.8012833333333332,0.7175083333333333,0.8117000000000001,0.7819833333333334,0.8160166666666667,0.6960666666666667,0.8194500000000001,0.7965916666666666,0.7883833333333333
17,GS,0.7862211382113821,0.7742791836734694,0.7802623217922613,-0.0055776094356998485,0.76175,0.7338333333333332,0.7537833333333334,0.7568999999999999,0.7555272727272727,0.7620499999999999,0.721,0.7287499999999999,0.8247166666666667,0.8300000000000001,0.7264090909090909,0.7803666666666668,0.8009083333333332,0.8259333333333333,0.7918454545454545,0.7965272727272726,0.786,,0.763275,0.77043,0.7569166666666667,0.8208272727272725,0.746990909090909,0.7608333333333333,0.8351166666666666,0.8054833333333334,0.7818833333333334,0.8054333333333332,0.8056800000000001,0.7107333333333333
18,PHO,0.7500418699186989,0.7553113821138209,0.7526766260162601,0.0009313365716347999,0.7712500000000001,0.7129333333333333,0.7345,0.6947333333333333,0.8196090909090908,0.7377250000000001,0.7335363636363635,0.7934166666666665,0.789,0.8391333333333334,0.7650727272727272,0.78525,0.7447083333333334,0.6811833333333334,0.710309090909091,0.79563,0.7425363636363636,0.7591249999999999,,0.7537818181818182,0.7888416666666668,0.7984727272727272,0.79133,0.67175,0.7104166666666667,0.8125333333333334,0.6763166666666667,0.7691166666666667,0.7417636363636363,0.7011833333333333
19,MEM,0.7756430894308951,0.7678044715447155,0.7717237804878058,-0.004919981062231238,0.8197666666666666,0.8280833333333333,0.80945,0.7562833333333333,0.7374333333333333,0.8081272727272727,0.7701272727272727,0.75895,0.7110833333333333,0.7719499999999999,0.7215999999999999,0.7802000000000001,0.7728599999999999,0.6788833333333333,0.7677416666666668,0.7710666666666667,0.7695399999999999,0.7509818181818182,0.8061727272727274,,0.7391363636363636,0.7200272727272726,0.7906181818181818,0.6986,0.73785,0.8252666666666667,0.8459499999999999,0.8180666666666667,0.7637545454545456,0.8001833333333334
