"","ref","team","fouls"
"248","Brenda Pantoja","DEN",18
"249","Brenda Pantoja","DET",0
"250","Brenda Pantoja","GS",74
"251","Brenda Pantoja","HOU",0
"252","Brenda Pantoja","IND",0
"253","Brenda Pantoja","LAC",0
"254","Brenda Pantoja","LAL",0
"255","Brenda Pantoja","MEM",0
"256","Brenda Pantoja","MIA",0
"257","Brenda Pantoja","MIL",0
"258","Brenda Pantoja","MIN",19
"259","Brenda Pantoja","NO",0
"260","Brenda Pantoja","NY",0
"261","Brenda Pantoja","OKC",21
"262","Brenda Pantoja","ORL",19
"263","Brenda Pantoja","PHI",0
"264","Brenda Pantoja","PHO",22
"265","Brenda Pantoja","POR",25
"266","Brenda Pantoja","SA",0
"267","Brenda Pantoja","SAC",25
"268","Brenda Pantoja","TOR",0
"269","Brenda Pantoja","UTA",0
"270","Brenda Pantoja","WAS",0
"271","Brent Barnaky","ATL",449
"272","Brent Barnaky","BKN",604
"273","Brent Barnaky","BOS",481
"274","Brent Barnaky","CHA",446
"275","Brent Barnaky","CHI",575
"276","Brent Barnaky","CLE",540
"277","Brent Barnaky","DAL",338
"278","Brent Barnaky","DEN",428
"279","Brent Barnaky","DET",448
"280","Brent Barnaky","GS",446
"281","Brent Barnaky","HOU",450
"282","Brent Barnaky","IND",471
"283","Brent Barnaky","LAC",530
"284","Brent Barnaky","LAL",488
"285","Brent Barnaky","MEM",544
"286","Brent Barnaky","MIA",529
"287","Brent Barnaky","MIL",438
"288","Brent Barnaky","MIN",466
"289","Brent Barnaky","NO",507
"290","Brent Barnaky","NY",410
"291","Brent Barnaky","OKC",554
"292","Brent Barnaky","ORL",547
"293","Brent Barnaky","PHI",501
"294","Brent Barnaky","PHO",502
"295","Brent Barnaky","POR",468
"296","Brent Barnaky","SA",467
"297","Brent Barnaky","SAC",308
"298","Brent Barnaky","TOR",538
"299","Brent Barnaky","UTA",448
"300","Brent Barnaky","WAS",455
"301","Brett Nansel","ATL",95
"302","Brett Nansel","BKN",81
"303","Brett Nansel","BOS",36
"304","Brett Nansel","CHA",171
"305","Brett Nansel","CHI",178
"306","Brett Nansel","CLE",65
"307","Brett Nansel","DAL",41
"308","Brett Nansel","DEN",181
"309","Brett Nansel","DET",131
"310","Brett Nansel","GS",90
"311","Brett Nansel","HOU",170
"312","Brett Nansel","IND",181
"313","Brett Nansel","LAC",153
"314","Brett Nansel","LAL",219
"315","Brett Nansel","MEM",146
"316","Brett Nansel","MIA",66
"317","Brett Nansel","MIL",113
"318","Brett Nansel","MIN",170
"319","Brett Nansel","NO",149
"320","Brett Nansel","NY",186
"321","Brett Nansel","OKC",98
"322","Brett Nansel","ORL",142
"323","Brett Nansel","PHI",156
"324","Brett Nansel","PHO",270
"325","Brett Nansel","POR",116
"326","Brett Nansel","SA",87
"327","Brett Nansel","SAC",184
"328","Brett Nansel","TOR",136
"329","Brett Nansel","UTA",151
"330","Brett Nansel","WAS",59
"331","Brian Forte","ATL",424
"332","Brian Forte","BKN",536
"333","Brian Forte","BOS",548
"334","Brian Forte","CHA",311
"335","Brian Forte","CHI",452
"336","Brian Forte","CLE",645
"337","Brian Forte","DAL",577
"338","Brian Forte","DEN",525
"339","Brian Forte","DET",561
"340","Brian Forte","GS",497
"341","Brian Forte","HOU",531
